date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:37:06	56564/56564	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22dcf4-5afed78ee72b8%22	https://ajdethemes.com/adri/dark/wp-includes/fonts/dashicons.eot?99ac726223c749443b642ce33df8b800	E:/templates/1/Adri%20cons/ajdethemes.com/adri/dark/wp-includes/fonts/dashicons7d4b.eot	(from https://ajdethemes.com/adri/dark/wp-includes/css/dashicons.min.css?ver=5.6.1)
12:37:07	56392/56392	---M--	200	added ('OK')	font/ttf	etag:%22dc48-5afed78ee72b8%22	https://ajdethemes.com/adri/dark/wp-includes/fonts/dashicons.ttf?99ac726223c749443b642ce33df8b800	E:/templates/1/Adri%20cons/ajdethemes.com/adri/dark/wp-includes/fonts/dashicons7d4b.ttf	(from https://ajdethemes.com/adri/dark/wp-includes/css/dashicons.min.css?ver=5.6.1)
12:37:08	1177572/1177572	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2211f7e4-5b506e2df53b7%22	https://ajdethemes.com/adri/dark/wp-content/themes/adri-ajdethemes/assets/fonts/im/fonts/icomoon.eot?-rdmvgc	E:/templates/1/Adri%20cons/ajdethemes.com/adri/dark/wp-content/themes/adri-ajdethemes/assets/fonts/im/fonts/icomoonca27.eot	(from https://ajdethemes.com/adri/dark/wp-content/themes/adri-ajdethemes/assets/fonts/im/im-style.css?ver=1.3)
12:37:09	1177572/1177572	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2211f7e4-5b506e2df53b7%22	https://ajdethemes.com/adri/dark/wp-content/themes/adri-ajdethemes/assets/fonts/im/fonts/icomoon.eot?	E:/templates/1/Adri%20cons/ajdethemes.com/adri/dark/wp-content/themes/adri-ajdethemes/assets/fonts/im/fonts/icomoond41d.eot	(from https://ajdethemes.com/adri/dark/wp-content/themes/adri-ajdethemes/assets/fonts/im/im-style.css?ver=1.3)
12:37:10	3689312/3689312	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22384b60-5b506e2df6f10%22	https://ajdethemes.com/adri/dark/wp-content/themes/adri-ajdethemes/assets/fonts/im/fonts/icomoon.svg?-rdmvgc	E:/templates/1/Adri%20cons/ajdethemes.com/adri/dark/wp-content/themes/adri-ajdethemes/assets/fonts/im/fonts/icomoonca27.svg	(from https://ajdethemes.com/adri/dark/wp-content/themes/adri-ajdethemes/assets/fonts/im/im-style.css?ver=1.3)
12:37:12	204814/204814	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%223200e-5b506e2df308f%22	https://ajdethemes.com/adri/dark/wp-content/themes/adri-ajdethemes/assets/fonts/fa-brands/fonts/fa-solid-900.eot?	E:/templates/1/Adri%20cons/ajdethemes.com/adri/dark/wp-content/themes/adri-ajdethemes/assets/fonts/fa-brands/fonts/fa-solid-900d41d.eot	(from https://ajdethemes.com/adri/dark/wp-content/themes/adri-ajdethemes/assets/fonts/fa-brands/solid.css?ver=5.13.0)
12:37:12	80240/80240	---M--	200	added ('OK')	font/woff2	etag:%2213970-5b506e2df308f%22	https://ajdethemes.com/adri/dark/wp-content/themes/adri-ajdethemes/assets/fonts/fa-brands/fonts/fa-solid-900.woff2	E:/templates/1/Adri%20cons/ajdethemes.com/adri/dark/wp-content/themes/adri-ajdethemes/assets/fonts/fa-brands/fonts/fa-solid-900.woff2	(from https://ajdethemes.com/adri/dark/wp-content/themes/adri-ajdethemes/assets/fonts/fa-brands/solid.css?ver=5.13.0)
12:37:13	104284/104284	---M--	200	added ('OK')	font/woff	etag:%221975c-5b506e2df2ca7%22	https://ajdethemes.com/adri/dark/wp-content/themes/adri-ajdethemes/assets/fonts/fa-brands/fonts/fa-solid-900.woff	E:/templates/1/Adri%20cons/ajdethemes.com/adri/dark/wp-content/themes/adri-ajdethemes/assets/fonts/fa-brands/fonts/fa-solid-900.woff	(from https://ajdethemes.com/adri/dark/wp-content/themes/adri-ajdethemes/assets/fonts/fa-brands/solid.css?ver=5.13.0)
12:37:13	204814/204814	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%223200e-5b506e2df308f%22	https://ajdethemes.com/adri/dark/wp-content/themes/adri-ajdethemes/assets/fonts/fa-brands/fonts/fa-solid-900.eot	E:/templates/1/Adri%20cons/ajdethemes.com/adri/dark/wp-content/themes/adri-ajdethemes/assets/fonts/fa-brands/fonts/fa-solid-900.eot	(from https://ajdethemes.com/adri/dark/wp-content/themes/adri-ajdethemes/assets/fonts/fa-brands/solid.css?ver=5.13.0)
12:37:13	204528/204528	---M--	200	added ('OK')	font/ttf	etag:%2231ef0-5b506e2df2ca7%22	https://ajdethemes.com/adri/dark/wp-content/themes/adri-ajdethemes/assets/fonts/fa-brands/fonts/fa-solid-900.ttf	E:/templates/1/Adri%20cons/ajdethemes.com/adri/dark/wp-content/themes/adri-ajdethemes/assets/fonts/fa-brands/fonts/fa-solid-900.ttf	(from https://ajdethemes.com/adri/dark/wp-content/themes/adri-ajdethemes/assets/fonts/fa-brands/solid.css?ver=5.13.0)
12:37:14	922608/922608	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22e13f0-5b506e2df28be%22	https://ajdethemes.com/adri/dark/wp-content/themes/adri-ajdethemes/assets/fonts/fa-brands/fonts/fa-solid-900.svg	E:/templates/1/Adri%20cons/ajdethemes.com/adri/dark/wp-content/themes/adri-ajdethemes/assets/fonts/fa-brands/fonts/fa-solid-900.svg	(from https://ajdethemes.com/adri/dark/wp-content/themes/adri-ajdethemes/assets/fonts/fa-brands/solid.css?ver=5.13.0)
12:37:14	136882/136882	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22216b2-5b506e2df28be%22	https://ajdethemes.com/adri/dark/wp-content/themes/adri-ajdethemes/assets/fonts/fa-brands/fonts/fa-brands-400.eot	E:/templates/1/Adri%20cons/ajdethemes.com/adri/dark/wp-content/themes/adri-ajdethemes/assets/fonts/fa-brands/fonts/fa-brands-400.eot	(from https://ajdethemes.com/adri/dark/wp-content/themes/adri-ajdethemes/assets/fonts/fa-brands/brands.css?ver=5.13.0)
12:37:14	136882/136882	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22216b2-5b506e2df28be%22	https://ajdethemes.com/adri/dark/wp-content/themes/adri-ajdethemes/assets/fonts/fa-brands/fonts/fa-brands-400.eot?	E:/templates/1/Adri%20cons/ajdethemes.com/adri/dark/wp-content/themes/adri-ajdethemes/assets/fonts/fa-brands/fonts/fa-brands-400d41d.eot	(from https://ajdethemes.com/adri/dark/wp-content/themes/adri-ajdethemes/assets/fonts/fa-brands/brands.css?ver=5.13.0)
12:37:14	1177408/1177408	---M--	200	added ('OK')	font/ttf	etag:%2211f740-5b506e2df4fcf%22	https://ajdethemes.com/adri/dark/wp-content/themes/adri-ajdethemes/assets/fonts/im/fonts/icomoon.ttf?-rdmvgc	E:/templates/1/Adri%20cons/ajdethemes.com/adri/dark/wp-content/themes/adri-ajdethemes/assets/fonts/im/fonts/icomoonca27.ttf	(from https://ajdethemes.com/adri/dark/wp-content/themes/adri-ajdethemes/assets/fonts/im/im-style.css?ver=1.3)
12:37:15	78632/78632	---M--	200	added ('OK')	font/woff2	etag:%2213328-5b506e2df308f%22	https://ajdethemes.com/adri/dark/wp-content/themes/adri-ajdethemes/assets/fonts/fa-brands/fonts/fa-brands-400.woff2	E:/templates/1/Adri%20cons/ajdethemes.com/adri/dark/wp-content/themes/adri-ajdethemes/assets/fonts/fa-brands/fonts/fa-brands-400.woff2	(from https://ajdethemes.com/adri/dark/wp-content/themes/adri-ajdethemes/assets/fonts/fa-brands/brands.css?ver=5.13.0)
12:37:16	92216/92216	---M--	200	added ('OK')	font/woff	etag:%2216838-5b506e2df2ca7%22	https://ajdethemes.com/adri/dark/wp-content/themes/adri-ajdethemes/assets/fonts/fa-brands/fonts/fa-brands-400.woff	E:/templates/1/Adri%20cons/ajdethemes.com/adri/dark/wp-content/themes/adri-ajdethemes/assets/fonts/fa-brands/fonts/fa-brands-400.woff	(from https://ajdethemes.com/adri/dark/wp-content/themes/adri-ajdethemes/assets/fonts/fa-brands/brands.css?ver=5.13.0)
12:37:16	136576/136576	---M--	200	added ('OK')	font/ttf	etag:%2221580-5b506e2df28be%22	https://ajdethemes.com/adri/dark/wp-content/themes/adri-ajdethemes/assets/fonts/fa-brands/fonts/fa-brands-400.ttf	E:/templates/1/Adri%20cons/ajdethemes.com/adri/dark/wp-content/themes/adri-ajdethemes/assets/fonts/fa-brands/fonts/fa-brands-400.ttf	(from https://ajdethemes.com/adri/dark/wp-content/themes/adri-ajdethemes/assets/fonts/fa-brands/brands.css?ver=5.13.0)
12:37:17	188164/188164	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222df04-5baf37a8d346c%22	https://ajdethemes.com/adri/dark/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.eot?5.10.0	E:/templates/1/Adri%20cons/ajdethemes.com/adri/dark/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons0b93.eot	(from https://ajdethemes.com/adri/dark/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.10.0)
12:37:17	750860/750860	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22b750c-5b506e2df308f%22	https://ajdethemes.com/adri/dark/wp-content/themes/adri-ajdethemes/assets/fonts/fa-brands/fonts/fa-brands-400.svg	E:/templates/1/Adri%20cons/ajdethemes.com/adri/dark/wp-content/themes/adri-ajdethemes/assets/fonts/fa-brands/fonts/fa-brands-400.svg	(from https://ajdethemes.com/adri/dark/wp-content/themes/adri-ajdethemes/assets/fonts/fa-brands/brands.css?ver=5.13.0)
12:37:18	84508/84508	---M--	200	added ('OK')	font/woff2	etag:%2214a1c-5baf37a8d346c%22	https://ajdethemes.com/adri/dark/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.woff2?5.10.0	E:/templates/1/Adri%20cons/ajdethemes.com/adri/dark/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons0b93.woff2	(from https://ajdethemes.com/adri/dark/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.10.0)
12:37:19	102768/102768	---M--	200	added ('OK')	font/woff	etag:%2219170-5baf37a8d3855%22	https://ajdethemes.com/adri/dark/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.woff?5.10.0	E:/templates/1/Adri%20cons/ajdethemes.com/adri/dark/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons0b93.woff	(from https://ajdethemes.com/adri/dark/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.10.0)
12:37:19	188004/188004	---M--	200	added ('OK')	font/ttf	etag:%222de64-5baf37a8d346c%22	https://ajdethemes.com/adri/dark/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.ttf?5.10.0	E:/templates/1/Adri%20cons/ajdethemes.com/adri/dark/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons0b93.ttf	(from https://ajdethemes.com/adri/dark/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.10.0)
12:37:20	286398/286398	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2245ebe-5baf37a8d346c%22	https://ajdethemes.com/adri/dark/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.svg?5.10.0	E:/templates/1/Adri%20cons/ajdethemes.com/adri/dark/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons0b93.svg	(from https://ajdethemes.com/adri/dark/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.10.0)
